run_id,file_name,class_value,workpiece_id,workpiece_date,workpiece_usage,workpiece_result,workpiece_location,scenario_condition,scenario_exception
1632119,Ch_000001632119.json,101_glass-fiber-content-30,40000000005302,2024-12-05 08:50:10,0,OK,left,normal,0
1632120,Ch_000001632120.json,101_glass-fiber-content-30,40000000005302,2024-12-05 08:50:15,0,OK,right,normal,0
1632121,Ch_000001632121.json,101_glass-fiber-content-30,40000000005295,2024-12-05 08:50:48,0,OK,left,normal,0
1632122,Ch_000001632122.json,101_glass-fiber-content-30,40000000005295,2024-12-05 08:50:54,0,OK,right,normal,0
1632123,Ch_000001632123.json,101_glass-fiber-content-30,40000000005291,2024-12-05 08:51:24,0,OK,left,normal,0
1632124,Ch_000001632124.json,101_glass-fiber-content-30,40000000005291,2024-12-05 08:51:30,0,OK,right,normal,0
1632125,Ch_000001632125.json,101_glass-fiber-content-30,40000000005294,2024-12-05 08:52:20,0,OK,left,normal,0
1632126,Ch_000001632126.json,101_glass-fiber-content-30,40000000005294,2024-12-05 08:52:25,0,OK,right,normal,0
1632127,Ch_000001632127.json,101_glass-fiber-content-30,40000000005293,2024-12-05 08:52:51,0,OK,left,normal,0
1632128,Ch_000001632128.json,101_glass-fiber-content-30,40000000005293,2024-12-05 08:52:56,0,OK,right,normal,0
1632129,Ch_000001632129.json,101_glass-fiber-content-30,40000000005301,2024-12-05 08:53:26,0,OK,left,normal,0
1632130,Ch_000001632130.json,101_glass-fiber-content-30,40000000005301,2024-12-05 08:53:32,0,OK,right,normal,0
1632131,Ch_000001632131.json,101_glass-fiber-content-30,40000000005292,2024-12-05 08:53:59,0,OK,left,normal,0
1632132,Ch_000001632132.json,101_glass-fiber-content-30,40000000005292,2024-12-05 08:54:05,0,OK,right,normal,0
1632133,Ch_000001632133.json,101_glass-fiber-content-30,40000000005300,2024-12-05 08:54:46,0,OK,left,normal,0
1632134,Ch_000001632134.json,101_glass-fiber-content-30,40000000005300,2024-12-05 08:54:51,0,OK,right,normal,0
1632135,Ch_000001632135.json,101_glass-fiber-content-30,40000000005290,2024-12-05 08:55:20,0,OK,left,normal,0
1632136,Ch_000001632136.json,101_glass-fiber-content-30,40000000005290,2024-12-05 08:55:26,0,OK,right,normal,0
1632137,Ch_000001632137.json,101_glass-fiber-content-30,40000000005289,2024-12-05 08:55:56,0,OK,left,normal,0
1632138,Ch_000001632138.json,101_glass-fiber-content-30,40000000005289,2024-12-05 08:56:02,0,OK,right,normal,0
1632139,Ch_000001632139.json,101_glass-fiber-content-30,40000000005288,2024-12-05 08:57:21,0,OK,left,normal,0
1632140,Ch_000001632140.json,101_glass-fiber-content-30,40000000005288,2024-12-05 08:57:26,0,OK,right,normal,0
1632141,Ch_000001632141.json,101_glass-fiber-content-30,40000000005299,2024-12-05 08:57:57,0,OK,left,normal,0
1632142,Ch_000001632142.json,101_glass-fiber-content-30,40000000005299,2024-12-05 08:58:02,0,OK,right,normal,0
1632143,Ch_000001632143.json,101_glass-fiber-content-30,40000000005298,2024-12-05 08:58:31,0,OK,left,normal,0
1632144,Ch_000001632144.json,101_glass-fiber-content-30,40000000005298,2024-12-05 08:58:37,0,OK,right,normal,0
1632145,Ch_000001632145.json,101_glass-fiber-content-30,40000000005297,2024-12-05 08:59:06,0,OK,left,normal,0
1632146,Ch_000001632146.json,101_glass-fiber-content-30,40000000005297,2024-12-05 08:59:11,0,OK,right,normal,0
1632147,Ch_000001632147.json,101_glass-fiber-content-30,40000000005296,2024-12-05 08:59:46,0,OK,left,normal,0
1632148,Ch_000001632148.json,101_glass-fiber-content-30,40000000005296,2024-12-05 08:59:51,0,OK,right,normal,0
1632149,Ch_000001632149.json,101_glass-fiber-content-30,40000000005287,2024-12-05 09:00:43,0,OK,left,normal,0
1632150,Ch_000001632150.json,101_glass-fiber-content-30,40000000005287,2024-12-05 09:00:48,0,OK,right,normal,0
1632151,Ch_000001632151.json,101_glass-fiber-content-30,40000000005303,2024-12-05 09:01:28,0,OK,left,normal,0
1632152,Ch_000001632152.json,101_glass-fiber-content-30,40000000005303,2024-12-05 09:01:34,0,OK,right,normal,0
1632153,Ch_000001632153.json,101_glass-fiber-content-30,40000000005286,2024-12-05 09:02:09,0,OK,left,normal,0
1632154,Ch_000001632154.json,101_glass-fiber-content-30,40000000005286,2024-12-05 09:02:14,0,OK,right,normal,0
1632155,Ch_000001632155.json,101_glass-fiber-content-30,40000000005304,2024-12-05 09:02:42,0,OK,left,normal,0
1632156,Ch_000001632156.json,101_glass-fiber-content-30,40000000005304,2024-12-05 09:02:47,0,OK,right,normal,0
1632157,Ch_000001632157.json,101_glass-fiber-content-30,40000000005305,2024-12-05 09:03:20,0,OK,left,normal,0
1632158,Ch_000001632158.json,101_glass-fiber-content-30,40000000005305,2024-12-05 09:03:26,0,OK,right,normal,0
1632159,Ch_000001632159.json,101_glass-fiber-content-30,40000000005306,2024-12-05 09:04:05,0,OK,left,normal,0
1632160,Ch_000001632160.json,101_glass-fiber-content-30,40000000005306,2024-12-05 09:04:10,0,OK,right,normal,0
1632161,Ch_000001632161.json,101_glass-fiber-content-30,40000000005307,2024-12-05 09:04:39,0,OK,left,normal,0
1632162,Ch_000001632162.json,101_glass-fiber-content-30,40000000005307,2024-12-05 09:04:44,0,OK,right,normal,0
1632163,Ch_000001632163.json,101_glass-fiber-content-30,40000000005308,2024-12-05 09:05:15,0,OK,left,normal,0
1632164,Ch_000001632164.json,101_glass-fiber-content-30,40000000005308,2024-12-05 09:05:20,0,OK,right,normal,0
1632165,Ch_000001632165.json,101_glass-fiber-content-30,40000000005309,2024-12-05 09:05:49,0,OK,left,normal,0
1632166,Ch_000001632166.json,101_glass-fiber-content-30,40000000005309,2024-12-05 09:05:54,0,OK,right,normal,0
1632167,Ch_000001632167.json,101_glass-fiber-content-30,40000000005310,2024-12-05 09:06:37,0,OK,left,normal,0
1632168,Ch_000001632168.json,101_glass-fiber-content-30,40000000005310,2024-12-05 09:06:42,0,OK,right,normal,0
1632169,Ch_000001632169.json,101_glass-fiber-content-30,40000000005285,2024-12-05 09:07:15,0,OK,left,normal,0
1632170,Ch_000001632170.json,101_glass-fiber-content-30,40000000005285,2024-12-05 09:07:21,0,OK,right,normal,0
1632171,Ch_000001632171.json,101_glass-fiber-content-30,40000000005284,2024-12-05 09:08:18,0,OK,left,normal,0
1632172,Ch_000001632172.json,101_glass-fiber-content-30,40000000005284,2024-12-05 09:08:23,0,OK,right,normal,0
1632173,Ch_000001632173.json,101_glass-fiber-content-30,40000000005283,2024-12-05 09:08:57,0,OK,left,normal,0
1632174,Ch_000001632174.json,101_glass-fiber-content-30,40000000005283,2024-12-05 09:09:02,0,OK,right,normal,0
1632175,Ch_000001632175.json,101_glass-fiber-content-30,40000000005282,2024-12-05 09:09:31,0,OK,left,normal,0
1632176,Ch_000001632176.json,101_glass-fiber-content-30,40000000005282,2024-12-05 09:09:36,0,OK,right,normal,0
1632177,Ch_000001632177.json,101_glass-fiber-content-30,40000000005281,2024-12-05 09:10:06,0,OK,left,normal,0
1632178,Ch_000001632178.json,101_glass-fiber-content-30,40000000005281,2024-12-05 09:10:12,0,OK,right,normal,0
1632179,Ch_000001632179.json,101_glass-fiber-content-30,40000000005269,2024-12-05 09:10:44,0,OK,left,normal,0
1632180,Ch_000001632180.json,101_glass-fiber-content-30,40000000005269,2024-12-05 09:10:49,0,OK,right,normal,0
1632181,Ch_000001632181.json,101_glass-fiber-content-30,40000000005268,2024-12-05 09:11:23,0,OK,left,normal,0
1632182,Ch_000001632182.json,101_glass-fiber-content-30,40000000005268,2024-12-05 09:11:28,0,OK,right,normal,0
1632183,Ch_000001632183.json,101_glass-fiber-content-30,40000000005267,2024-12-05 09:11:58,0,OK,left,normal,0
1632184,Ch_000001632184.json,101_glass-fiber-content-30,40000000005267,2024-12-05 09:12:03,0,OK,right,normal,0
1632185,Ch_000001632185.json,101_glass-fiber-content-30,40000000005266,2024-12-05 09:12:33,0,OK,left,normal,0
1632186,Ch_000001632186.json,101_glass-fiber-content-30,40000000005266,2024-12-05 09:12:38,0,OK,right,normal,0
1632187,Ch_000001632187.json,101_glass-fiber-content-30,40000000005280,2024-12-05 09:13:06,0,OK,left,normal,0
1632188,Ch_000001632188.json,101_glass-fiber-content-30,40000000005280,2024-12-05 09:13:12,0,OK,right,normal,0
1632189,Ch_000001632189.json,101_glass-fiber-content-30,40000000005279,2024-12-05 09:13:41,0,OK,left,normal,0
1632190,Ch_000001632190.json,101_glass-fiber-content-30,40000000005279,2024-12-05 09:13:46,0,OK,right,normal,0
1632191,Ch_000001632191.json,101_glass-fiber-content-30,40000000005278,2024-12-05 09:14:19,0,OK,left,normal,0
1632192,Ch_000001632192.json,101_glass-fiber-content-30,40000000005278,2024-12-05 09:14:24,0,OK,right,normal,0
1632193,Ch_000001632193.json,101_glass-fiber-content-30,40000000005277,2024-12-05 09:14:54,0,OK,left,normal,0
1632194,Ch_000001632194.json,101_glass-fiber-content-30,40000000005277,2024-12-05 09:14:59,0,OK,right,normal,0
1632195,Ch_000001632195.json,101_glass-fiber-content-30,40000000005276,2024-12-05 09:15:28,0,OK,left,normal,0
1632196,Ch_000001632196.json,101_glass-fiber-content-30,40000000005276,2024-12-05 09:15:33,0,OK,right,normal,0
1632197,Ch_000001632197.json,101_glass-fiber-content-30,40000000005275,2024-12-05 09:16:25,0,OK,left,normal,0
1632198,Ch_000001632198.json,101_glass-fiber-content-30,40000000005275,2024-12-05 09:16:30,0,OK,right,normal,0
1632199,Ch_000001632199.json,102_glass-fiber-content-28,40000000005364,2024-12-05 09:27:22,0,OK,left,faulty,0
1632200,Ch_000001632200.json,102_glass-fiber-content-28,40000000005364,2024-12-05 09:27:28,0,OK,right,faulty,0
1632201,Ch_000001632201.json,102_glass-fiber-content-28,40000000005363,2024-12-05 09:27:55,0,OK,left,faulty,0
1632202,Ch_000001632202.json,102_glass-fiber-content-28,40000000005363,2024-12-05 09:28:00,0,OK,right,faulty,0
1632203,Ch_000001632203.json,102_glass-fiber-content-28,40000000005362,2024-12-05 09:28:27,0,OK,left,faulty,0
1632204,Ch_000001632204.json,102_glass-fiber-content-28,40000000005362,2024-12-05 09:28:33,0,OK,right,faulty,0
1632205,Ch_000001632205.json,102_glass-fiber-content-28,40000000005361,2024-12-05 09:29:03,0,OK,left,faulty,0
1632206,Ch_000001632206.json,102_glass-fiber-content-28,40000000005361,2024-12-05 09:29:08,0,OK,right,faulty,0
1632207,Ch_000001632207.json,102_glass-fiber-content-28,40000000005360,2024-12-05 09:29:42,0,OK,left,faulty,0
1632208,Ch_000001632208.json,102_glass-fiber-content-28,40000000005360,2024-12-05 09:29:48,0,OK,right,faulty,0
1632209,Ch_000001632209.json,102_glass-fiber-content-28,40000000005382,2024-12-05 09:30:16,0,OK,left,faulty,0
1632210,Ch_000001632210.json,102_glass-fiber-content-28,40000000005382,2024-12-05 09:30:22,0,OK,right,faulty,0
1632211,Ch_000001632211.json,102_glass-fiber-content-28,40000000005391,2024-12-05 09:30:52,0,OK,left,faulty,0
1632212,Ch_000001632212.json,102_glass-fiber-content-28,40000000005391,2024-12-05 09:30:57,0,OK,right,faulty,0
1632213,Ch_000001632213.json,102_glass-fiber-content-28,40000000005390,2024-12-05 09:31:34,0,OK,left,faulty,0
1632214,Ch_000001632214.json,102_glass-fiber-content-28,40000000005390,2024-12-05 09:31:40,0,OK,right,faulty,0
1632215,Ch_000001632215.json,102_glass-fiber-content-28,40000000005381,2024-12-05 09:32:06,0,OK,left,faulty,0
1632216,Ch_000001632216.json,102_glass-fiber-content-28,40000000005381,2024-12-05 09:32:12,0,OK,right,faulty,0
1632217,Ch_000001632217.json,102_glass-fiber-content-28,40000000005389,2024-12-05 09:32:38,0,OK,left,faulty,0
1632218,Ch_000001632218.json,102_glass-fiber-content-28,40000000005389,2024-12-05 09:32:43,0,OK,right,faulty,0
1632219,Ch_000001632219.json,102_glass-fiber-content-28,40000000005380,2024-12-05 09:33:13,0,OK,left,faulty,0
1632220,Ch_000001632220.json,102_glass-fiber-content-28,40000000005380,2024-12-05 09:33:19,0,OK,right,faulty,0
1632221,Ch_000001632221.json,102_glass-fiber-content-28,40000000005379,2024-12-05 09:33:46,0,OK,left,faulty,0
1632222,Ch_000001632222.json,102_glass-fiber-content-28,40000000005379,2024-12-05 09:33:51,0,OK,right,faulty,0
1632223,Ch_000001632223.json,102_glass-fiber-content-28,40000000005378,2024-12-05 09:34:17,0,OK,left,faulty,0
1632224,Ch_000001632224.json,102_glass-fiber-content-28,40000000005378,2024-12-05 09:34:22,0,OK,right,faulty,0
1632225,Ch_000001632225.json,102_glass-fiber-content-28,40000000005388,2024-12-05 09:34:49,0,OK,left,faulty,0
